T,R,F
34365825,22,0
34365905,6,0
34366010,-16,0
34366065,3,0
34366145,49,0
34366225,60,0
34366305,-28,0
34366385,-99,0
34366465,-128,0
34366545,-36,0
34366625,84,0
34366705,107,0
34366785,85,0
34366865,65,0
34366945,51,0
34367026,34,-385
34367106,19,638
34367186,15,662
34367266,14,-1359
34367346,16,-3428
34367426,13,-2622
34367506,8,1093
34367586,1,4264
34367666,-4,3694
34367746,-1,231
34367826,9,-2277
34367906,11,-1662
34368008,8,-80
34368066,6,-846
34368146,6,-3386
34368225,8,0
34368305,8,0
34368385,6,0
34368465,7,0
34368545,10,0
34368625,8,0
34368705,4,0
34368785,3,0
34368865,3,0
34368945,3,0
34369025,5,0
34369105,8,0
34369185,6,0
34369265,3,0
34369345,7,0
